State,Region,UFO_Sightings,Population,Square_Miles
ILLINOIS,Midwest,2983,12763371,56343
INDIANA,Midwest,1617,6271973,36185
IOWA,Midwest,808,2966334,56276
KANSAS,Midwest,751,2744687,82282
MICHIGAN,Midwest,2378,10120860,58513
MINNESOTA,Midwest,1234,5132799,84397
MISSOURI,Midwest,1833,5800310,69709
NEBRASKA,Midwest,466,1578385,77359
NORTH DAKOTA,Midwest,158,636677,70704
OHIO,Midwest,2821,11464042,41328
SOUTH DAKOTA,Midwest,235,775933,77122
WISCONSIN,Midwest,1507,5536201,56145
CONNECTICUT,Northeast,1125,3510297,5006
DISTRICT OF COLUMBIA,Northeast,120,646449,61.4
MAINE,Northeast,719,1321505,33128
MASSACHUSETTS,Northeast,1597,6398743,8262
NEW HAMPSHIRE,Northeast,634,1309940,9283
NEW JERSEY,Northeast,1738,8717925,7790
NEW YORK,Northeast,3733,19254630,49112
PENNSYLVANIA,Northeast,3042,12429616,45310
RHODE ISLAND,Northeast,336,1076189,1213
VERMONT,Northeast,357,623050,9615
ALABAMA,South,821,4557808,51718
ARKANSAS,South,751,2779154,53183
DELAWARE,South,223,843524,2026
FLORIDA,South,4866,17789864,58681
GEORGIA,South,1590,9072576,58390
KENTUCKY,South,1049,4173405,40411
LOUISIANA,South,712,4523628,47720
MARYLAND,South,1054,5600388,10455
MISSISSIPPI,South,485,2921088,47695
NORTH CAROLINA,South,2189,8683242,52672
OKLAHOMA,South,895,3547884,69903
SOUTH CAROLINA,South,1327,4255083,31117
TENNESSEE,South,1392,5962959,42146
TEXAS,South,4234,22859968,266874
VIRGINIA,South,1602,7567465,40598
WEST VIRGINIA,South,573,1816856,24231
ALASKA,West,410,663661,587878
ARIZONA,West,3053,5939292,114007
CALIFORNIA,West,10871,36132147,158648
COLORADO,West,1758,4665177,104100
HAWAII,West,420,1275194,6459
IDAHO,West,660,1429096,83574
MONTANA,West,606,935670,147047
NEVADA,West,1048,2414807,110567
NEW MEXICO,West,955,1928384,121599
OREGON,West,2148,3641056,97052
UTAH,West,830,2469585,84905
WASHINGTON,West,4867,6287759,68126
WYOMING,West,240,509294,97818
